"","baker_first_name","baker_last_name","baker_age","baker_occupation","baker_hometown","series","episode","technical","signature_bake","show_stopper","result"
"409","Enwezor","Nzegwu",39,"Business Consultant","Portsmouth, Hampshire",5,1,"9","Raspberry and Lemon Swiss Roll","Coffee and Walnut Battenberg Squares","IN"
"410","Iain","Watters",31,"Construction Engineer","London/Belfast",5,1,"4","Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream","Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon","IN"
"411","Jordan","Cox",32,"IT Manager","Sneinton, Nottingham",5,1,"12","Kawaii Frasier Swiss Roll","Lemon Drizzle Cakes with Blueberry and Lemon Curd","IN"
"412","Kate","Henry",41,"Furniture Restorer","Brighton, East Sussex",5,1,"6","Red Velvet and White Chocolate Swiss Roll","Mini Tiered Victoria Sponges","IN"
"413","Luis","Troyano",42,"Graphic Designer","Poynton, Cheshire",5,1,"7","Spanish Swiss Roll","Raspberry and Lemon Genoise Slices with Lemon Drizzles","IN"
"414","Martha","Collison",17,"Student","Ascot, Berkshire",5,1,"2","Tiramisu Swiss Roll","Mini Lemon and Thyme Drizzle Cakes","IN"
"415","Norman","Calder",66,"Retired Naval Officer","Portknockie, Moray",5,1,"11","Black Forest Swiss Roll","Almond and Raspberry Mini Cakes","IN"
"416","Richard","Burr",38,"Builder","Mill Hill, London",5,1,"10","Pistachio and Strawberry Swiss Roll","Miniature Coffee & Walnut Cakes","IN"
"417","Claire","Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford",5,1,"8","Chocolatey Orangey Swirly Roll","Mini Chocolate and Cherry Cakes","OUT"
"418","Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,1,"1","Coffee and Hazelnut Swiss Roll","Jaffa Orange Cakes","STAR BAKER"
"419","Chetna","Makan",35,"Fashion Designer","Broadstairs, Kent",5,2,"8","Fenugreek and Carom Crackers","Day On The Beach","IN"
"420","Diana","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire",5,2,"7","Parmesan Triangles","Express, First Class","IN"
"421","Iain","Watters",31,"Construction Engineer","London/Belfast",5,2,"11","Za'atar and Fig Biscuits","Wild West Scene","IN"
"422","Jordan","Cox",32,"IT Manager","Sneinton, Nottingham",5,2,"6","Sourdough, Parmesan and Chilli Biscuits","Monster Attack","IN"
"423","Kate","Henry",41,"Furniture Restorer","Brighton, East Sussex",5,2,"4","Parmesan and Apple Biscuits","Tea Time","IN"
"424","Luis","Troyano",42,"Graphic Designer","Poynton, Cheshire",5,2,"3","Black Olive and Rosemary Biscuits with Caramelised Onion Glaze","George Versus The Dragon","IN"
"425","Martha","Collison",17,"Student","Ascot, Berkshire",5,2,"5","Caramelised Onion and Goat's Cheese Sandwich Biscuits","Ski Village Scene","IN"
"426","Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,2,"2","Fennel and Rye Thins","Hansel and Gretel Scene","IN"
"427","Norman","Calder",66,"Retired Naval Officer","Portknockie, Moray",5,2,"10","Farthing Biscuits","Zulu Boats at Dawn","IN"
"428","Enwezor","Nzegwu",39,"Business Consultant","Portsmouth, Hampshire",5,2,"9","Pumpkin and Sunflower Savoury Biscuits","Space Adventure Moon Scene","OUT"
"429","Richard","Burr",38,"Builder","Mill Hill, London",5,2,"1","Rosemary Seeded Crackers","Pirates!","STAR BAKER"
"430","Claire","Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford",5,2,NA,NA,NA,NA
"431","Chetna","Makan",35,"Fashion Designer","Broadstairs, Kent",5,3,"8","Onion and Pine Nut Rolls","Rolled and Filled Twin Loaf","IN"
"432","Diana","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire",5,3,"7","Rustic Picnic Rolls","Sharing Savoury Pinwheel","IN"
"433","Iain","Watters",31,"Construction Engineer","London/Belfast",5,3,"9","Cranberry and Walnut Rye Bread Rolls","Moroccan Plaited with a Bessara Dip","IN"
"434","Kate","Henry",41,"Furniture Restorer","Brighton, East Sussex",5,3,"1","Orange and Cardamom Rye Bread Knots","Prosciutto, Olive and Coriander Bread","IN"
"435","Martha","Collison",17,"Student","Ascot, Berkshire",5,3,"3","Date and Walnut Rye Rolls","Stuffed Sunflower Loaf","IN"
"436","Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,3,"5","Cider and Walnut Crusty Rolls","'Full English' Stromboli","IN"
"437","Norman","Calder",66,"Retired Naval Officer","Portknockie, Moray",5,3,"4","Rye Bread Rolls","Chicken and Roasted Vegetable Picnic Loaf","IN"
"438","Richard","Burr",38,"Builder","Mill Hill, London",5,3,"6","Rye and Cranberry Rolls","Pesto Pinwheel","IN"
"439","Jordan","Cox",32,"IT Manager","Sneinton, Nottingham",5,3,"10","Rye and Spelt Bread Rolls","Strawberry Raspberry Cheesecake Brioche","OUT"
"440","Luis","Troyano",42,"Graphic Designer","Poynton, Cheshire",5,3,"2","Opposites Attract Rolls","Roscón de Reyes","STAR BAKER"
"441","Claire","Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford",5,3,NA,NA,NA,NA
"442","Enwezor","Nzegwu",39,"Business Consultant","Portsmouth, Hampshire",5,3,NA,NA,NA,NA
"443","Chetna","Makan",35,"Fashion Designer","Broadstairs, Kent",5,4,"3","Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska","IN"
"444","Diana","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire",5,4,"9","Orange and Lemon Curd Pots","Raspberry Ripple Alaska Swan","IN"
"445","Kate","Henry",41,"Furniture Restorer","Brighton, East Sussex",5,4,"7","Chocolate and Salted Caramel Molten Puddings","Pistachio, Raspberry and Chocolate Baked Alaska","IN"
"446","Luis","Troyano",42,"Graphic Designer","Poynton, Cheshire",5,4,"2","Pears in Puddings","Bakewell Alaska","IN"
"447","Martha","Collison",17,"Student","Ascot, Berkshire",5,4,"1","Peanut Butter Chocolate Fondants","Key Lime Baked Alaska","IN"
"448","Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,4,"4","Pistachio Puddings with Chocolate Sauce","Summer Pudding Alaska","IN"
"449","Norman","Calder",66,"Retired Naval Officer","Portknockie, Moray",5,4,"8","Mini Sticky Toffee Puddings","Baked Alaska with Strawberry Surprise","IN"
"450","Iain","Watters",31,"Construction Engineer","London/Belfast",5,4,"6","Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)","OUT"
"451","Richard","Burr",38,"Builder","Mill Hill, London",5,4,"5","Black Forest Chocolate Fondants","Tiramisu Baked Alaska","STAR BAKER"
"452","Claire","Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford",5,4,NA,NA,NA,NA
"453","Enwezor","Nzegwu",39,"Business Consultant","Portsmouth, Hampshire",5,4,NA,NA,NA,NA
"454","Jordan","Cox",32,"IT Manager","Sneinton, Nottingham",5,4,NA,NA,NA,NA
"455","Chetna","Makan",35,"Fashion Designer","Broadstairs, Kent",5,5,"2","Rice Custard Tart with Mangoes and Raspberries","Fusion Tiered Pies","IN"
"456","Luis","Troyano",42,"Graphic Designer","Poynton, Cheshire",5,5,"6","Tropical Manchester Tart","Four Fruity Seasons Tower","IN"
"457","Martha","Collison",17,"Student","Ascot, Berkshire",5,5,"1","Pistachio, Apricot and Honey Custard Tart","Three Little Pigs Pie","IN"
"458","Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,5,"4","Chocolate Crusted Passion Fruit Tart","Trio of Apple Pies","IN"
"459","Richard","Burr",38,"Builder","Mill Hill, London",5,5,"7","Fig and Orange Tart","Three Course Autumn Pie Feast","IN"
"460","Norman","Calder",66,"Retired Naval Officer","Portknockie, Moray",5,5,"5","Tarte au Citron","Pieful Tower","OUT"
"461","Kate","Henry",41,"Furniture Restorer","Brighton, East Sussex",5,5,"3","Rhubarb and Custard Tart","Rhubarb, Prune and Apple Pies","STAR BAKER"
"462","Diana","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire",5,5,NA,NA,NA,"WD"
"463","Claire","Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford",5,5,NA,NA,NA,NA
"464","Enwezor","Nzegwu",39,"Business Consultant","Portsmouth, Hampshire",5,5,NA,NA,NA,NA
"465","Iain","Watters",31,"Construction Engineer","London/Belfast",5,5,NA,NA,NA,NA
"466","Jordan","Cox",32,"IT Manager","Sneinton, Nottingham",5,5,NA,NA,NA,NA
"467","Diana","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire",5,6,NA,NA,NA,"IN"
"468","Kate","Henry",41,"Furniture Restorer","Brighton, East Sussex",5,6,"6","Pecan, Chocolate and Sour Cherry Yeast Cake","Trio of Dobos Tortes","IN"
"469","Luis","Troyano",42,"Graphic Designer","Poynton, Cheshire",5,6,"3","Apple and Cinnamon Kugelhopf with Honeyed Apples","The Cage on the Rocky Hill","IN"
"470","Martha","Collison",17,"Student","Ascot, Berkshire",5,6,"4","Dark Chocolate and Almond Liqueur Savarin","Chess-Themed Chocolate and Salted Caramel Dobos Torte","IN"
"471","Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,6,"1","Rum Punch Savarin with Coconut Cream and Tropical Fruits","Chocolate and Caramel Dobos Torte","IN"
"472","Richard","Burr",38,"Builder","Mill Hill, London",5,6,"5","Fruity Guglhupf with an Orange Glaze","Sugar Forest Dobos Torte","IN"
"473","Chetna","Makan",35,"Fashion Designer","Broadstairs, Kent",5,6,"2","Orange Savarin with Cinnamon Cream","Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream","STAR BAKER"
"474","Claire","Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford",5,6,NA,NA,NA,NA
"475","Enwezor","Nzegwu",39,"Business Consultant","Portsmouth, Hampshire",5,6,NA,NA,NA,NA
"476","Iain","Watters",31,"Construction Engineer","London/Belfast",5,6,NA,NA,NA,NA
"477","Jordan","Cox",32,"IT Manager","Sneinton, Nottingham",5,6,NA,NA,NA,NA
"478","Norman","Calder",66,"Retired Naval Officer","Portknockie, Moray",5,6,NA,NA,NA,NA
"479","Chetna","Makan",35,"Fashion Designer","Broadstairs, Kent",5,7,"6","Crispy Lentil Kachori","Chocolate and Mango & Lemon Meringue Éclairs","IN"
"480","Diana","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire",5,7,NA,NA,NA,"IN"
"481","Luis","Troyano",42,"Graphic Designer","Poynton, Cheshire",5,7,"5","Childhood Empanadas","Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)","IN"
"482","Martha","Collison",17,"Student","Ascot, Berkshire",5,7,"3","Mini Beef Wellingtons","Rhubarb and Custard & Maple Syrup and Bacon Éclairs","IN"
"483","Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,7,"2","Spicy Duck Pasties","Smoked Salmon and Horseradish & Raspberry Ripple Éclairs","IN"
"484","Kate","Henry",41,"Furniture Restorer","Brighton, East Sussex",5,7,"4","Spinach and Paneer Spicy Samosa","Neapolitan & Lemon Meringue Éclairs","OUT"
"485","Richard","Burr",38,"Builder","Mill Hill, London",5,7,"1","Minted Lamb Pasties","Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)","STAR BAKER"
"486","Claire","Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford",5,7,NA,NA,NA,NA
"487","Enwezor","Nzegwu",39,"Business Consultant","Portsmouth, Hampshire",5,7,NA,NA,NA,NA
"488","Iain","Watters",31,"Construction Engineer","London/Belfast",5,7,NA,NA,NA,NA
"489","Jordan","Cox",32,"IT Manager","Sneinton, Nottingham",5,7,NA,NA,NA,NA
"490","Norman","Calder",66,"Retired Naval Officer","Portknockie, Moray",5,7,NA,NA,NA,NA
"491","Chetna","Makan",35,"Fashion Designer","Broadstairs, Kent",5,8,"1","Date and Walnut Swirl Bread","Chocolate Mousse Filled DoughnutsBraided Doughnuts","IN"
"492","Diana","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire",5,8,NA,NA,NA,"IN"
"493","Luis","Troyano",42,"Graphic Designer","Poynton, Cheshire",5,8,"2","Black Forest Cherry Tree","Cocktail Doughnuts
(Mudslide & Raspberry Mojito)","IN"
"494","Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,8,"3","Lincolnshire Plum Braid","Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)","IN"
"495","Martha","Collison",17,"Student","Ascot, Berkshire",5,8,"5","Spiced Plum Iced Bread Swirl","Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts","OUT"
"496","Richard","Burr",38,"Builder","Mill Hill, London",5,8,"4","Fruit Swedish Tea Ring","Rhubarb and Custard and Toffee Apple Doughnuts","STAR BAKER"
"497","Claire","Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford",5,8,NA,NA,NA,NA
"498","Enwezor","Nzegwu",39,"Business Consultant","Portsmouth, Hampshire",5,8,NA,NA,NA,NA
"499","Iain","Watters",31,"Construction Engineer","London/Belfast",5,8,NA,NA,NA,NA
"500","Jordan","Cox",32,"IT Manager","Sneinton, Nottingham",5,8,NA,NA,NA,NA
"501","Kate","Henry",41,"Furniture Restorer","Brighton, East Sussex",5,8,NA,NA,NA,NA
"502","Norman","Calder",66,"Retired Naval Officer","Portknockie, Moray",5,8,NA,NA,NA,NA
"503","Diana","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire",5,9,NA,NA,NA,"IN"
"504","Luis","Troyano",42,"Graphic Designer","Poynton, Cheshire",5,9,"1","Indian Rose BaklavaHalwa Baklava Rolls","Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges","IN"
"505","Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,9,"3","Coffee and Chocolate BaklavaBreakfast Baklava","Raspberry NonnettesLime and Passion Fruit Entremets","IN"
"506","Chetna","Makan",35,"Fashion Designer","Broadstairs, Kent",5,9,"4","Chocolate Orange Baklava Masala Chai Baklava","Chocolate, Orange & Nut EntremetsCappuccino Entremets","OUT"
"507","Richard","Burr",38,"Builder","Mill Hill, London",5,9,"2","Rose and Pistachio BaklavaWalnut and Almond Baklava","Hazelnut Mocha EntremetsPink Grapefruit Entremets","STAR BAKER"
"508","Claire","Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford",5,9,NA,NA,NA,NA
"509","Enwezor","Nzegwu",39,"Business Consultant","Portsmouth, Hampshire",5,9,NA,NA,NA,NA
"510","Iain","Watters",31,"Construction Engineer","London/Belfast",5,9,NA,NA,NA,NA
"511","Jordan","Cox",32,"IT Manager","Sneinton, Nottingham",5,9,NA,NA,NA,NA
"512","Kate","Henry",41,"Furniture Restorer","Brighton, East Sussex",5,9,NA,NA,NA,NA
"513","Martha","Collison",17,"Student","Ascot, Berkshire",5,9,NA,NA,NA,NA
"514","Norman","Calder",66,"Retired Naval Officer","Portknockie, Moray",5,9,NA,NA,NA,NA
"515","Diana","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire",5,10,NA,NA,NA,"IN"
"516","Luis","Troyano",42,"Graphic Designer","Poynton, Cheshire",5,10,"2","Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese","Village in Chocolate","Runner-up"
"517","Richard","Burr",38,"Builder","Mill Hill, London",5,10,"3","Pear Pain au ChocolatPain Au Lait","Mill on the Hill","Runner-up"
"518","Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,10,"1","Apple and Lemon KitesRaspberry and Almond Croissants","Red Windmill","WINNER"
"519","Chetna","Makan",35,"Fashion Designer","Broadstairs, Kent",5,10,NA,NA,NA,NA
"520","Claire","Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford",5,10,NA,NA,NA,NA
"521","Enwezor","Nzegwu",39,"Business Consultant","Portsmouth, Hampshire",5,10,NA,NA,NA,NA
"522","Iain","Watters",31,"Construction Engineer","London/Belfast",5,10,NA,NA,NA,NA
"523","Jordan","Cox",32,"IT Manager","Sneinton, Nottingham",5,10,NA,NA,NA,NA
"524","Kate","Henry",41,"Furniture Restorer","Brighton, East Sussex",5,10,NA,NA,NA,NA
"525","Martha","Collison",17,"Student","Ascot, Berkshire",5,10,NA,NA,NA,NA
"526","Norman","Calder",66,"Retired Naval Officer","Portknockie, Moray",5,10,NA,NA,NA,NA
"527","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire",6,1,"2","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau","IN"
"528","Dorret","Conway",53,"Accountant","Penwortham, Lancashire",6,1,"5","Madeira Cake with Candied Lemons","Enchanted Forest Gâteau","IN"
"529","Flora","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,1,"6","Blood Orange Madeira Cake","Black Forest Gâteau","IN"
"530","Ian","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,1,"8","Somewhere West of Madeira Cake","Black Forest Cherry Tree","IN"
"531","Mat","Riley",37,"Fire fighter","London",6,1,"7","Gin and Tonic Madeira Cake","Black Forest Gateau","IN"
"532","Nadiya","Hussain",30,"Full-time mother","Leeds / Luton",6,1,"12","Orange and Green Cardamom Madeira Cake","Quadruple Chocolate Black Forest Gâteau","IN"
"533","Paul","Jagger",49,"Prison governor","Swansea, Wales",6,1,"10","Lemon, Ginger and Caraway Seed Madeira Cake","Black Forest Chocolate Creation","IN"
"534","Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",6,1,"9","Madeira Cake with Almond Liqueur and Chopped Apricots","Black Forest Gâteau","IN"
"535","Tamal","Ray",29,"Trainee anaesthetist","Manchester",6,1,"4","Pistachio and Rose Madeira Cake","Black Forest Gâteau in a Chocolate Shell","IN"
"536","Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,1,"1","Lemon and Thyme Madeira Cake","Falling Cup Gâteau","IN"
"537","Stu","Henshall",35,"Professional musician","Guildford, Surrey",6,1,"11","Marley Madeira Cake","Purple Forest Gâteau","OUT"
"538","Marie","Campbell",66,"Retired","Auchterarder, Perthshire",6,1,"3","Zingy Citrus Madeira Cake","A Walk in the Black Forest","STAR BAKER"
"539","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire",6,2,"6","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps","IN"
"540","Dorret","Conway",53,"Accountant","Penwortham, Lancashire",6,2,"1","Almond and Apricot Biscotti with Amber Sugar Crystals","Box of Frogs","IN"
"541","Flora","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,2,"2","Wedding Biscotti","Honey and Earl Grey Tea Box","IN"
"542","Mat","Riley",37,"Fire fighter","London",6,2,"5","Pistachio, Cranberry and White Chocolate Biscotti","Gingerbread Fire Engine","IN"
"543","Nadiya","Hussain",30,"Full-time mother","Leeds / Luton",6,2,"9","Coconut, Fennel and Pistachio Biscotti","Box of Fortunes","IN"
"544","Paul","Jagger",49,"Prison governor","Swansea, Wales",6,2,"10","Chocolate, Hazelnut and Fig Biscotti","Memory Box","IN"
"545","Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",6,2,"4","Chocolate Chunk and Hazelnut Biscotti","Sundried Tomato Cheese Biscuit Box","IN"
"546","Tamal","Ray",29,"Trainee anaesthetist","Manchester",6,2,"8","Cinnamon, Maple and Cranberry Biscotti","Chessboard Box","IN"
"547","Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,2,"7","White Wine Biscotti","Baby Climbing into the Cookie Box","IN"
"548","Marie","Campbell",66,"Retired","Auchterarder, Perthshire",6,2,"11","Biscotti Italiano","Russian Box","OUT"
"549","Ian","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,2,"3","Orange, Rosemary and Almond Biscotti","Sandwich de la Confiture","STAR BAKER"
"550","Stu","Henshall",35,"Professional musician","Guildford, Surrey",6,2,NA,NA,NA,NA
"551","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire",6,3,"4","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia","IN"
"552","Flora","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,3,"2","Fig and Hazelnut Rye Breads","Herb Couture","IN"
"553","Mat","Riley",37,"Fire fighter","London",6,3,"8","Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads","Curry Inspired Brighton Pavilion","IN"
"554","Nadiya","Hussain",30,"Full-time mother","Leeds / Luton",6,3,"9","Mexican Bread with Warm Tomato Salsa","Snake Charmer's Basket","IN"
"555","Paul","Jagger",49,"Prison governor","Swansea, Wales",6,3,"10","Cranberry and Orange Sweet Soda Breads","King of the Jungle","IN"
"556","Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",6,3,"7","Soda Breads with Smoked Bacon and Onion","Basket of Bread Flowers with a Walnut and Blue Cheese Centre","IN"
"557","Tamal","Ray",29,"Trainee anaesthetist","Manchester",6,3,"3","Fig, Cheese and Walnut Breads","Breadcycle","IN"
"558","Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,3,"5","Chocolate Quick Breads with Salted Caramel Sauce","Easter Basket","IN"
"559","Dorret","Conway",53,"Accountant","Penwortham, Lancashire",6,3,"6","Walnut and Stilton Soda Breads","Unmade Bread","OUT"
"560","Ian","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,3,"1","Wild Garlic Pesto Soda Breads","Flour Power","STAR BAKER"
"561","Marie","Campbell",66,"Retired","Auchterarder, Perthshire",6,3,NA,NA,NA,NA
"562","Stu","Henshall",35,"Professional musician","Guildford, Surrey",6,3,NA,NA,NA,NA
"563","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire",6,4,"9","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes","IN"
"564","Flora","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,4,"3","Rhubarb and Ginger Crème Brûlées","Elderflower and Granola Cheesecakes","IN"
"565","Mat","Riley",37,"Fire fighter","London",6,4,"7","Coconut Crème Brûlées","Chocolate Bar Cheesecakes","IN"
"566","Nadiya","Hussain",30,"Full-time mother","Leeds / Luton",6,4,"8","Cinnamon Tea Crème Brûlées","Fizzy Pop Cheesecakes","IN"
"567","Paul","Jagger",49,"Prison governor","Swansea, Wales",6,4,"1","Almond Crème Brûlées","Berry Cheesecake Tower","IN"
"568","Tamal","Ray",29,"Trainee anaesthetist","Manchester",6,4,"5","Rhubarb and Ginger Crème Brûlées","Mango, Hazelnut and Rosemary Cheesecake Trio","IN"
"569","Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,4,"2","Marula Fruit and Coffee Liqueur Crème Brûlées","Lime, Coconut and Hazelnut Cheesecakes","IN"
"570","Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",6,4,"6","Pontefract Crème Brûlées","Cassata, Whisky and Orange & Apple Pie Cheesecakes","OUT"
"571","Ian","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,4,"4","Pomegranate Two Ways Crème Brûlées","Trio of Spicy and Herby Baked Cheesecakes","STAR BAKER"
"572","Dorret","Conway",53,"Accountant","Penwortham, Lancashire",6,4,NA,NA,NA,NA
"573","Marie","Campbell",66,"Retired","Auchterarder, Perthshire",6,4,NA,NA,NA,NA
"574","Stu","Henshall",35,"Professional musician","Guildford, Surrey",6,4,NA,NA,NA,NA
"575","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire",6,5,"8","Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll","IN"
"576","Flora","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,5,"3","Pistachio, Apple and Cardamom Madeleine Cake","Chocolate and Pear Bûche","IN"
"577","Ian","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,5,"5","Honey and Flowers Cake","Dessert Island","IN"
"578","Mat","Riley",37,"Fire fighter","London",6,5,"4","Sugar Free Carrot Cake","Raspberry and Coconut Ice Cream Roll","IN"
"579","Paul","Jagger",49,"Prison governor","Swansea, Wales",6,5,"2","Carrot & Pecan Cake","Dessert Island Getaway","IN"
"580","Tamal","Ray",29,"Trainee anaesthetist","Manchester",6,5,"7","Honey and Grapefruit Polenta Cake","Passion Fruit and Pineapple Ice Cream Roll","IN"
"581","Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,5,"6","Chocolate and Hazelnut Sugar-Free Cake","Chocolate, Peanut Butter and Grape Jam Roll","OUT"
"582","Nadiya","Hussain",30,"Full-time mother","Leeds / Luton",6,5,"1","Naked Blueberry and Caraway Crunch Cake","Chocolate and Strawberry Lime Ice Cream Roll","STAR BAKER"
"583","Dorret","Conway",53,"Accountant","Penwortham, Lancashire",6,5,NA,NA,NA,NA
"584","Marie","Campbell",66,"Retired","Auchterarder, Perthshire",6,5,NA,NA,NA,NA
"585","Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",6,5,NA,NA,NA,NA
"586","Stu","Henshall",35,"Professional musician","Guildford, Surrey",6,5,NA,NA,NA,NA
"587","Flora","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,6,"2","Apricot and Rosemary Frangipane Tart","Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents","IN"
"588","Ian","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,6,"3","Pear and Raspberry Frangipane Tart","vol-au-vents Terre et Mer","IN"
"589","Nadiya","Hussain",30,"Full-time mother","Leeds / Luton",6,6,"4","Bay Leaf, Rong Tea and Pear Tart","Bengali Korma and Clementine with Cod Vol-au-vents","IN"
"590","Paul","Jagger",49,"Prison governor","Swansea, Wales",6,6,"5","Christmas Frangipane Tart","Savoury and Sweet Bouchées","IN"
"591","Tamal","Ray",29,"Trainee anaesthetist","Manchester",6,6,"7","Spiced Pear Frangipane Tart","Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents","IN"
"592","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire",6,6,"6","Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents","OUT"
"593","Mat","Riley",37,"Fire fighter","London",6,6,"1","Piña Colada Frangipane Tart","His 'n' Hers Vol-au-vents","STAR BAKER"
"594","Dorret","Conway",53,"Accountant","Penwortham, Lancashire",6,6,NA,NA,NA,NA
"595","Marie","Campbell",66,"Retired","Auchterarder, Perthshire",6,6,NA,NA,NA,NA
"596","Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",6,6,NA,NA,NA,NA
"597","Stu","Henshall",35,"Professional musician","Guildford, Surrey",6,6,NA,NA,NA,NA
"598","Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,6,NA,NA,NA,NA
"599","Flora","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,7,"4","Game Pie with Shallot and Apple Chutney","Raspberry, Pomegranate and Champagne Charlotte Russe","IN"
"600","Ian","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,7,"5","Roadkill Pie","Victoria's Crown Charlotte Russe","IN"
"601","Nadiya","Hussain",30,"Full-time mother","Leeds / Luton",6,7,"1","Aromatic Raised Game Pie","Mango and Raspberry Charlotte Russe","IN"
